dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates
ds-1232-5T/Short/short,naive,2.4133400656960227,2.4133400656960227,0.617162392356179,1.1625106024845933,7.429253965435606,1.2087977553858902,19.999472941965653,1.553492859879318,3.47837000176592,1.3818661206827738,1.4394491026616287,0.7864974513198391,Infrastructure,11
ds-1232-5T/Short/medium,naive,2.5623098662405304,2.5623098662405304,0.5964352694424716,1.1298216839278907,6.6449041193181815,1.1276115648674243,20.755938974950453,1.6007216704475924,3.3481904811808723,1.247549107790512,1.3517684717900091,0.7344672000769413,Infrastructure,11
ds-1232-5T/Short/long,naive,2.48784426294192,2.48784426294192,0.6439323656486743,1.1634856281350785,6.857658617424242,1.1760923032407409,20.822486885783466,1.577290164472574,3.401962505684117,1.388859078358474,1.4943800926619486,0.7687578914141414,Infrastructure,11
ds-1233-5T/Short/short,naive,0.490320078531901,0.490320078531901,0.3053284009297689,0.6132588564778702,5.236226908365885,1.0056371053059896,13.161541345777238,0.7002285901988728,2.165010306039364,0.944033339957921,1.2323199221985792,0.7018672943115234,Infrastructure,4
ds-1233-5T/Short/medium,naive,1.1322118123372396,1.1322118123372396,0.4674919128417968,0.9803155139633434,7.150911458333334,1.1843825022379555,18.46649165721159,1.0640544216990218,2.619225435981176,1.150755717245712,1.3074222037595709,0.7814183553059896,Infrastructure,4
ds-1233-5T/Short/long,naive,1.0348827220775465,1.0348827220775465,0.427288168447989,0.9071390372727758,7.4760145399305555,1.148386072229456,19.91570398468487,1.0172918568815668,2.547179668545384,1.069879531540792,1.3831276102760228,0.7611057422779225,Infrastructure,4
ds-1234-T/Short/short,naive,0.3187123298645019,0.3187123298645019,0.3359976450602213,0.4873372031348767,2.9811470031738283,1.1074134826660156,7.080132116882775,0.5645461273133506,1.7102603860872514,1.017885757005904,0.9040740076120358,0.738519287109375,Infrastructure,1
ds-1234-T/Short/medium,naive,0.4378901799519857,0.4378901799519857,0.4095547358194987,0.5760371591114324,10.522042846679687,1.1612559000651042,7.791585990819914,0.6617327103536486,1.733055580812093,1.0726099971402012,0.9457135018709246,0.8086912790934245,Infrastructure,1
ds-1234-T/Short/long,naive,0.4416900634765625,0.4416900634765625,0.4370807223849826,0.6109597586963149,12.363765914351852,1.2480341028284143,6.302833154016599,0.6645976703815343,1.8262482125636,1.2010542973214728,1.0252233099534076,0.8598883169668692,Infrastructure,1
ds-1235-5T/Short/short,naive,0.2102343114217122,0.2102343114217122,0.2117009353637695,0.5265884736239637,49.32328938802083,0.9378905487060548,13.642619557882442,0.4585131529429796,1.6891239819678772,0.7798884822229823,1.1624816961733633,0.6616790517171224,Infrastructure,40
